ID,place1_description,place1_town,place1_country,travel_time_1_min,modes_1_and_or,place_1_purpose,place2_description,place2_town,place2_country,travel_time_2_min,modes_2_and_or,place_2_purpose,place3_description,place3_town,place3_country,travel_time_3_min,modes_3_and_or,place_3_purpose,place4_description,place4_town,place4_country,travel_time_4_min,modes_4_and_or,place_4_purpose,place5_description,place5_town,place5_country,travel_time_5_min,modes_5_and_or,place_5_purpose,cleaned,all_modes,home_lon_centroids_ssecteur_7,home_lat_centroids_ssecteur_7,home_NPA,home_town,ssecteur_7,ssecteur_7_area,population_ssecteur7_2021,ssecteur_3,secteur
149720,,Genève,Suisse,10,MD+TIM,At work/school,,Genève,Suisse,10,TIM,Shops,,Genève,Suisse,10,MD,Sport,,London,UK,120,TP,Other,Genève,Genève,Suisse,10,TP,Public space,1,MD+TP+TIM,6.105982035463830,46.182589205985500,1213,Onex,3100050,435812.2638,1079.0,50,0
117899,Plainpalais,Genève,Suisse,55,TP,At work/school,,Genève,Suisse,70,TP,Public space,Plainpalais,Genève,Suisse,65,TP,Public space,Centre Balexert,Genève,Suisse,70,TP,Shops,,Genève,Suisse,80,,Other,1,,5.9929191936508,46.150424034494400,1285,Athenaz (Avusy),400010,531410.3929,510.0,10,0
118359,Rive,Genève,Suisse,7,MD+TIM,At work/school,Centre ville,Genève,Suisse,10,TP,Individual transport,centre ville,Annemasse,France,20,TIM,Shops,centre ville,Genève,Suisse,10,TP,Public space,Champel-Bastion,Genève,Suisse,10,TP,Public space,1,MD+TIM,6.149192784265850,46.19303031435100,1205,Genève,2111020,186844.3737,891.0,20,11
136007,Nations,Genève,Suisse,2,TP,At work/school,,Genève,Suisse,20,TIM,Public space,,Genève,Suisse,20,TIM,Shops,Petit Saconnex,Genève,Suisse,5,TIM,Sport,Petit Saconnex,Genève,Suisse,5,TP,Public space,1,TIM,6.133139491228750,46.221265358684000,1202,Genève,2134050,290887.6611,3935.0,50,34
105576,Eaux-vives,Genève,Suisse,50,TP,At work/school,,Genève,Suisse,30,TP,Sport,,Genève,Suisse,20,TIM,At relatives,,Genève,Suisse,20,TP,At relatives,,Genève,Suisse,0,TP,Collective transport,1,TP+TIM,6.089334750417630,46.21729073515360,1214,Vernier,4300190,338094.71515,3339.0,190,0
114247,,Renens,Suisse,50,TP,At work/school,,Lausanne,Suisse,50,TP,At relatives,Grottes,Genève,Suisse,20,TP,Public space,Parc des Cropettes,Genève,Suisse,20,TP,Public space,Evolene,Genève,Suisse,90,TP,Other home,1,TP,6.138263608728460,46.21107971838010,1201,Genève,2103030,122715.41795,3231.0,30,3
120554,Châtelaine,Genève,Suisse,12,MD,At work/school,Pas d'endroit précis,Genève,Suisse,12,MD,Shops,,Genève,Suisse,12,MD,Sport,,Genève,Suisse,5,MD,At relatives,,,,200,TIM,At relatives,1,MD+TIM,6.1357898968359000,46.1997860263405,1205,Genève,2113071,90073.49275,2163.0,71,13
114237, ,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,1,TP,6.139264652077340,46.21812027945240,1202,Genève,2133040,117006.47175,1354.0,40,33
112817,,Genève,Suisse,45,TP,At work/school,,Vaud,Suisse,2,MD+TIM,Public space,,Valais,Suisse,120,TIM,Other home,,Vaud,Suisse,5,MD+TP,Collective transport,,Genève,Suisse,10,TIM,Shops,1,MD+TP+TIM,6.15035036344392,46.210040038956800,1201,Genève,2104031,111846.58975,1729.0,31,4
136592,,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,,,, ,TP,99,1,TP,6.141936070207420,46.20582477665340,1201,Genève,2102042,77754.659,665.0,42,2
105219,,Genève,Suisse,0,TIM,At work/school,,Genève,Suisse,15,TIM,At relatives,,Genève,Suisse,10,TIM,Shops,,Genève,Suisse,15,TIM,Public services,Genève-Vaud-France,Genève,Suisse,5,TIM,Individual transport,1,TIM,6.19839727173434,46.20491793516970,1224,Chêne-Bougeries,1200080,263259.79,1865.0,80,0
148453,,Plan-les-Ouates,Suisse,30,TP,At work/school,Grand-Saconnex,Genève,Suisse,30,TIM,At relatives,Migros,Onex,Suisse,10,MD+TP+TIM,Shops,Onex,Genève,Suisse,30,TIM,Public space,Onex,Genève,Suisse,10,TP,Collective transport,1,MD+TP+TIM,6.10096124253055,46.19084999556990,1213,Onex,3100030,580556.02305,7478.0,30,0
109058,,Carouge,Suisse,30,TP,At work/school,Centre de Genève,Genève,Suisse,15,TIM,Other home,,Genève,Suisse,20,TIM,Public space,Eaux-Vives,Genève,Suisse,5,TP,Shops,Champel,Genève,Suisse,10,TP,Public services,1,MD+TP+TIM,6.154016686809980,46.19511338636540,1206,Genève,2111030,120191.80015,3597.0,30,11
109973,,Genève,Suisse,15,MD+TP+TIM,At work/school,Versoix centre,Genève,Suisse,15,,Sport,9999,Genève,Suisse,15,TP,Other home,9999,Genève,Suisse,15,,Public services,9999,Genève,Suisse,15,TIM,At work/school,1,,6.162614702966150,46.28492223272830,1290,Versoix,4400120,274304.59185,3277.0,120,0
136693,,chenes bougeries,Suisse,15,TIM,At relatives,centre ville,Genève,Suisse,20,TIM,Public space,,Genève,Suisse,20,TIM,Shops,Voiture,,,0,TIM,Individual transport,genève,Genève,Suisse,20,TIM,Other home,1,TIM,6.152118451127950,46.19814662764360,1207,Genève,2101040,155293.01065,673.0,40,1
118383,Route des Carres,Meinier,Suisse,30,MD+TP+TIM,Public space,Chantepoulet,Carouge,Suisse,45,TIM,At relatives,,Lausanne,Suisse,90,TIM,Other home,Rue Centrale,Anières,Suisse,30,MD+TIM,Shops,Rue de la Corraterie,Carouge,Suisse,45,TIM,Public space,1,MD+TP+TIM,6.2378982136004300,46.283806745205000,1247,Anières,200020,347425.02265,135.0,20,0
140664,Aeroport,Genève,Suisse,25,TIM,At work/school,la praille,Genève,Suisse,20,MD+TP+TIM,Shops,Aéroport,Genève,Suisse,20,TIM,Public space,Grand Lancy,Genève,Suisse,0,,Individual transport,Centre ville,Genève,Suisse,30,TIM,At relatives,0,,6.113933393729500,46.17765215742640,1212,Grand-Lancy,2800090,278172.93825,1266.0,90,0
137493,Charmilles,Genève,Suisse,20,,Other home,Petit saconnex,Genève,Suisse,10,TP,Public services,Balexert,Genève,Suisse,10,TP,Shops,Route de malagnou,Genève,Suisse,1,TP,At work/school,Bel air,Genève,Suisse,30,TP,At work/school,0,,6.126899849823520,46.22114195994960,1209,Genève,2134090,184064.65855,2588.0,90,34
142660,,Aire-la-Ville,Suisse,20,TIM,At work/school,France voisine,Genève,Suisse,15,TIM,At relatives,Quartier,Genève,Suisse,5,TIM,Shops,"Parc, rues de Genève...",Genève,Suisse,45,TP,Public space,Quartier,Genève,Suisse,10,TIM,Public services,0,TIM,6.12131674609686,46.22776852697260,1218,Le Grand-Saconnex,2300042,179640.3107,3714.0,42,0
104712, ,,, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99, ,Genève,Suisse, ,TP,99,0,TP,6.075717799861300,46.213702399055900,1214,Vernier,4300170,495503.29895,1728.0,170,0
